Date,1,2,3,4,5,6,7,8,9,10,11,12,Label,Pct_inc,Bin_label,Up,Down
1998-09-08,Boeing gets Varig order,Airbus gets Emirates order,Dow set for early takeoff,CNNfn market movers,,,,,,,,,Inc,1.936619718,Up,1,0
1998-09-09,UPS flies with Airbus,Boeing  Airbus split order,,,,,,,,,,,Dec,-2.590673575,Down,0,1
1998-10-05,Boeing boosts output,,,,,,,,,,,,Inc,2.111324376,Up,1,0
1998-10-07,Raytheon cuts 14000 jobs,Open skies' at an impasse,,,,,,,,,,,Dec,-2.466793169,Down,0,1
1998-10-08,Wall Street struggles in pain,Selling pressure eases,Wall Street reels in pain,Wall St. shaken up,More turmoil for U.S. stocks,Yen takes second bite of bond,,,,,,,Dec,-2.946954813,Down,0,1
1998-10-12,Dow set for solid start,Daimler Aerospace rockets,Dasa and BAe to merge,,,,,,,,,,Inc,1.145038168,Up,1,0
1998-10-13,PanAmSat's sky falls,,,,,,,,,,,,Inc,0.754716981,Up,1,0
1998-10-15,Boeing lays off 20,,,,,,,,,,,,Inc,1.305970149,Up,1,0
1998-10-16,Ground zero for Microsoft,,,,,,,,,,,,Dec,-4.972375691,Down,0,1
1998-10-21,Airlines' 3Q: rough landing,,,,,,,,,,,,Same,0.173913043,Up,1,0
1998-10-22,Boeing earnings climb,Wall St. finds higher ground,Dow limps Nasdaq thrives,Dow stumbles others rumble,Stocks just can't stay down,Wall Street cashes in,IPOs to bolster market?,,,,,,Inc,1.215277778,Up,1,0
1998-10-23,Airline deal under a cloud,CNNfn market movers,,,,,,,,,,,Dec,-2.058319039,Down,0,1
1998-10-27,BA  AMR buy Iberia stake,,,,,,,,,,,,Inc,0.888099467,Up,1,0
1998-10-30,BA scales back AA link,,,,,,,,,,,,Inc,3.087478559,Up,1,0
1998-11-11,B of E warns on inflation,,,,,,,,,,,,Inc,0.453857791,Up,1,0
1998-11-12,UPS set to pick up the pieces,,,,,,,,,,,,Same,-0.15060241,Down,0,1
1998-11-17,Sun wins Java ruling,,,,,,,,,,,,Same,0.0,Down,0,1
1998-11-23,Business leaders back euro,,,,,,,,,,,,Inc,0.573888092,Up,1,0
1998-11-27,Boeing lower on EU probe,Post-holiday Dow inches up,Dow still digesting holiday,,,,,,,,,,Dec,-1.339285714,Down,0,1
1998-12-01,Boeing cuts 20000 more jobs,,,,,,,,,,,,Dec,-0.615384615,Down,0,1
1998-12-02,Boeing could buckle Dow,Wall St. on a slide,Dow under siege,Boeing lands on Wall St.,Boeing weighs on Dow,Boeing in a downdraft,Boeing too heavy for Dow,CNNfn market movers,Mid-week stall for Dow,A big year for layoffs,Mild losses in Europe,World on recession's brink,Dec,-3.405017921,Down,0,1
1998-12-03,Callies sees short-term dip,Dow eyes Damocles sword,,,,,,,,,,,Dec,-5.380333952,Down,0,1
1998-12-04,Jobs data kills bond streak,Dow to bounce at open,Europe follows Dow down,,,,,,,,,,Inc,2.131782946,Up,1,0
1998-12-07,Northrop sets more layoffs,Pink slips proliferate,Optimism in Europe,Bourses' strength fades,Bourses open strongly,Defense merger moves closer,,,,,,,Inc,4.511278195,Up,1,0
1998-12-09,TWA orders new jets,Dull Dow eyes drugs,Deal news excites bourses,,,,,,,,,,Inc,0.362976407,Up,1,0
1998-12-14,Monday blues hit Europe,Europe stocks edge down,Global woe depresses bourses,,,,,,,,,,Inc,1.320754717,Up,1,0
1998-12-16,4Q warnings pile up,,,,,,,,,,,,Dec,-2.651515152,Down,0,1
1998-12-21,You've got grief!',Bourses inch upward,Bourse bounce gathers speed,Bourses get late boost,German stocks open higher,,,,,,,,Same,0.196850394,Up,1,0
1998-12-22,GEC to spin off Marconi,BankAmerica buys unit,Bourses pause for breath,,,,,,,,,,Same,0.0,Down,0,1
1998-12-30,Bourses start last day higher,Bourses end 1998 with a fizzle,,,,,,,,,,,Dec,-0.779727096,Down,0,1
1999-01-05,Autos help bourses motor on,,,,,,,,,,,,Inc,5.223880597,Up,1,0
1999-01-06,Northrop sets 4Q charge,Big Bang on Wall Street,Wall St. plows ever higher,Stocks conquer new ground,Stocks stampede higher,CNNfn market movers,,,,,,,Inc,0.874125874,Up,1,0
1999-01-07,BoE cuts key UK rate to 6%,,,,,,,,,,,,Dec,-0.347826087,Down,0,1
1999-01-08,Dueling gurus,Acampora: Be aggressive,,,,,,,,,,,Same,0.0,Down,0,1
1999-01-11,NTSB suggests inspections,,,,,,,,,,,,Dec,-1.919720768,Down,0,1
1999-01-19,BAe snags GEC defense arm,Defense deal waylays Europe,Euro defense stocks jolted,Delta soars Northwest skids,Dow to eye Net earnings,Bourses ignore defense deal,,,,,,,Dec,-0.742115028,Down,0,1
1999-01-20,Bourses eye Greenspan,Bourses enjoy late rally,,,,,,,,,,,Inc,2.429906542,Up,1,0
1999-01-26,Boeing 4Q flies over Street,Earnings highlights,Bourses open in positive mood,,,,,,,,,,Dec,-2.777777778,Down,0,1
1999-01-29,Boeing aims for clear skies,,,,,,,,,,,,Same,0.180505415,Up,1,0
1999-02-01,Budget lifts defense titans,,,,,,,,,,,,Dec,-1.801801802,Down,0,1
1999-02-03,Loss job cuts at Air Canada,,,,,,,,,,,,Inc,7.481751825,Up,1,0
1999-02-05,BMW ousts top two bosses,,,,,,,,,,,,Inc,1.016949153,Up,1,0
1999-02-08,CNNfn market movers,Rockwell moving to Midwest,Bourses turn lower,Bourses a bit edgy,,,,,,,,,Dec,-2.348993289,Down,0,1
1999-02-09,China defers plane orders,BA slides into 3Q loss,Bourses finish lower,Bourses edge higher,,,,,,,,,Dec,-2.237521515,Down,0,1
1999-02-10,BoE cuts growth outlook,,,,,,,,,,,,Inc,0.352112676,Up,1,0
1999-02-12,BA to reign in Spain,,,,,,,,,,,,Dec,-0.871080139,Down,0,1
1999-02-17,BoE unanimous on rate cut,,,,,,,,,,,,Dec,-0.698080279,Down,0,1
1999-02-19,Retail health stocks to rise?,,,,,,,,,,,,Dec,-0.522648084,Down,0,1
1999-02-24,Dow set for Greenspan II,Stocks wrecked by bonds,Bond reversal hurts stocks,Timid gains on Wall St.,Wall Street heads higher,Wall Street finds a lift,Boeing blows $3.6 billion,,,,,,Dec,-4.201680672,Down,0,1
1999-02-25,Bourses spooked by Dow,Bourses get Dow doldrums,Europe's earnings parade,,,,,,,,,,Dec,-1.58172232,Down,0,1
1999-02-26,Bourses extend losses,,,,,,,,,,,,Inc,1.423487544,Up,1,0
1999-03-05,Funds eye battle lines,,,,,,,,,,,,Inc,1.607142857,Up,1,0
1999-03-16,Boeing expands conversions,Dow: A good benchmark?,Acampora runs with bulls,,,,,,,,,,Inc,3.386809269,Up,1,0
1999-03-17,Bourses tip lower,BoE hints at more rate cuts,,,,,,,,,,,Dec,-1.379310345,Down,0,1
1999-03-19,Dow 10K and mutual funds,Fund stocks flounder,,,,,,,,,,,Dec,-3.202846975,Down,0,1
1999-03-26,London bucks bourse trend,Choppy open for bourses,,,,,,,,,,,Inc,0.541516245,Up,1,0
