Date,1,2,3,4,5,6,7,8,9,10,11,12,Label,Pct_inc,Bin_label,Up,Down
1997-05-08,Wild day for the Dow,Blue chips skyrocket,Dow charges ahead,April sales meet estimates,,,,,,,,,Inc,3.083700441,Up,1,0
1997-05-13,Stocks to watch,Stocks sink on rate woes,Dow in the doldrums,Dow stays down at noon,,,,,,,,,Same,0.0,Down,0,1
1997-06-02,Dow declines on rate woes,Nasdaq climbs; Dow slips,Stocks struggle at midday,,,,,,,,,,Inc,1.25,Up,1,0
1997-06-05,Dow jumps then stalls,Blue chips power Wall St.,Dow surges at midday,Apparel sales still suffer,,,,,,,,,Same,0.0,Down,0,1
1997-06-09,Wal-Mart keeps growing,,,,,,,,,,,,Inc,0.790513834,Up,1,0
1997-06-10,IBM to close Web 'mall',,,,,,,,,,,,Dec,-1.953125,Down,0,1
1997-06-19,Sony Cineplex in talks?,,,,,,,,,,,,Same,0.0,Down,0,1
1997-06-20,Cineplex deal confirmed,,,,,,,,,,,,Inc,1.886792453,Up,1,0
1997-07-10,Dow battles back,Wall St. wobbles higher,Zig-zag day for stocks,Blue chips retreat,,,,,,,,,Inc,3.125,Up,1,0
1997-08-07,Stocks bonds weaken,Blue chips fight on,Dow stays firm at record,,,,,,,,,,Dec,-1.296596434,Down,0,1
1997-08-14,Bonds thrill stocks chill,Stocks fall despite CPI,,,,,,,,,,,Dec,-3.372681282,Down,0,1
1997-08-15,Stocks tumble at opening,,,,,,,,,,,,Same,0.178571429,Up,1,0
1997-08-21,Beef plant is shut down,,,,,,,,,,,,Dec,-1.675041876,Down,0,1
1997-08-22,Lynch: Follow the earnings,,,,,,,,,,,,Inc,0.694444444,Up,1,0
1997-09-03,Carmike shows horror pix,,,,,,,,,,,,Inc,0.996677741,Up,1,0
1997-09-04,Warnings wobble Wall St.,Blue chips keep slipping,Rickety Dow recovering,Blue chips skid at midday,Sales techs rule market,Chain store sales improve,,,,,,,Inc,0.329489292,Up,1,0
1997-09-05,Dow rallies from slump,,,,,,,,,,,,Dec,-0.819672131,Down,0,1
1997-10-09,September sales slump,,,,,,,,,,,,Dec,-0.528169014,Down,0,1
1997-10-15,Getting your first biz loan,,,,,,,,,,,,Inc,1.048951049,Up,1,0
1997-10-17,Holiday retail looks bright,,,,,,,,,,,,Dec,-2.288732394,Down,0,1
1997-11-06,Retail sales rise in fall,,,,,,,,,,,,Inc,2.253032929,Up,1,0
1997-11-11,Profit gain at Wal-Mart,Investors hesitate ahead of Fed,Stocks take pre-Fed snooze,Stocks lose ground,Dow stuck in tight range,Dow holds on to gains,Dow in pre-Fed lull,,,,,,Inc,0.337837838,Up,1,0
1997-12-04,Retailers thank holiday,,,,,,,,,,,,Same,-0.151975684,Down,0,1
1997-12-26,Retail stocks on sale?,Holiday optimism muted,Holiday giddiness subsides,Jingle bulls jingle bulls,ready...set...SHOP!,,,,,,,,Inc,1.178451178,Up,1,0
1997-12-30,Stocks shake holiday blues,Stocks zoom in year-end rally,Retail sales help fuel rally,Retail banks bolster rally,,,,,,,,,Inc,2.922077922,Up,1,0
1998-01-08,Holiday sales: few surprises,,,,,,,,,,,,Dec,-1.71875,Down,0,1
1998-02-05,January store sales rise,,,,,,,,,,,,Dec,-1.58045977,Down,0,1
1998-02-24,Caldor to shut 12 stores,,,,,,,,,,,,Same,0.0,Down,0,1
1998-03-05,Hard goods help retailers,,,,,,,,,,,,Inc,1.690507152,Up,1,0
1998-03-10,NCR Microsoft partner,,,,,,,,,,,,Dec,-2.158273381,Down,0,1
1998-03-19,Sunbeam sees weak sales,,,,,,,,,,,,Dec,-0.616522811,Down,0,1
1998-03-25,Wal-mart  small-mart,Dow party quiets down,Dow powers toward goal,,,,,,,,,,Dec,-1.732673267,Down,0,1
1998-04-02,Woolworth sports new name,,,,,,,,,,,,Dec,-1.811594203,Down,0,1
1998-04-03,Sunbeam sees 1Q loss,,,,,,,,,,,,Inc,0.733496333,Up,1,0
1998-04-09,Weather warms retail sales,,,,,,,,,,,,Dec,-0.611246944,Down,0,1
1998-05-06,Surgery firms cut a deal,,,,,,,,,,,,Dec,-1.113861386,Down,0,1
1998-05-07,Chains post strong sales,,,,,,,,,,,,Inc,0.871731009,Up,1,0
1998-05-08,Retail sector sets 'sale',,,,,,,,,,,,Same,-0.24691358,Down,0,1
1998-05-12,Wal-Mart beats Wall St.,Stocks adrift in pre-Fed week,Bonds rally stocks follow,Dow bides its time,,,,,,,,,Inc,1.442307692,Up,1,0
1998-05-13,Retail sales to ring on Dow,,,,,,,,,,,,Inc,2.364066194,Up,1,0
1998-05-14,Dover Pacific finds funding,,,,,,,,,,,,Inc,0.347222222,Up,1,0
1998-06-04,Retail sales soar,,,,,,,,,,,,Inc,1.116071429,Up,1,0
1998-06-09,Go with the winners',,,,,,,,,,,,Inc,0.323974082,Up,1,0
1998-07-02,GM talks show little progress,,,,,,,,,,,,Dec,-0.817160368,Down,0,1
1998-07-23,Sears beats street in 2Q,,,,,,,,,,,,Dec,-4.511278195,Down,0,1
1998-07-24,Outsmarting the car dealer,,,,,,,,,,,,Inc,0.492125984,Up,1,0
1998-07-28,Big banking alternatives,,,,,,,,,,,,Inc,0.694444444,Up,1,0
1998-08-06,Retail sales growth steady,Wall Street still healing,A timid bounce on Wall St.,Techs rebound Dow lags,Stocks claw slightly higher,Wall St. gets more jitters,,,,,,,Inc,6.004140787,Up,1,0
1998-08-11,Wal-Mart profit gains,,,,,,,,,,,,Inc,4.703476483,Up,1,0
1998-08-18,Retail earnings looking good,,,,,,,,,,,,Inc,2.186878728,Up,1,0
1998-08-26,Creatine sales bulking up,,,,,,,,,,,,Inc,1.376146789,Up,1,0
1998-08-28,Analyst: Two-thirds done,,,,,,,,,,,,Dec,-3.860294118,Down,0,1
1998-09-01,Approaching bottom,,,,,,,,,,,,Inc,3.781512605,Up,1,0
1998-09-03,Retail sales a mixed bag,CNNfn market movers,,,,,,,,,,,Inc,1.691331924,Up,1,0
1998-09-04,The top foul-weather funds,,,,,,,,,,,,Dec,-3.105590062,Down,0,1
1998-09-08,CNNfn market movers,,,,,,,,,,,,Inc,1.414141414,Up,1,0
1998-09-15,CNNfn market movers,,,,,,,,,,,,Inc,1.62601626,Up,1,0
1998-09-25,BBBY sees profits bubble,,,,,,,,,,,,Same,-0.201409869,Down,0,1
1998-10-06,Wal-Mart sales surge,More anxiety on Wall Street,Stocks stumble at the end,Wall Street rally turns rusty,Buyers return to stocks,,,,,,,,Dec,-0.833333333,Down,0,1
1998-10-08,Discount retail sales surge,CNNfn market movers,,,,,,,,,,,Inc,0.44198895,Up,1,0
1998-10-16,Wal-Mart sues Amazon,,,,,,,,,,,,Inc,0.566037736,Up,1,0
1998-10-19,CNNfn market movers,,,,,,,,,,,,Inc,1.102941176,Up,1,0
1998-10-21,Nordstrom takes on the 'Net,,,,,,,,,,,,Dec,-1.609848485,Down,0,1
1998-10-29,Net's future: customer loyalty,,,,,,,,,,,,Inc,1.79245283,Up,1,0
1998-10-30,Booking the Net,All I want for Christmas...,,,,,,,,,,,Inc,1.5625,Up,1,0
1998-11-03,The cyber side of Sears,,,,,,,,,,,,Dec,-2.903811252,Down,0,1
1998-11-05,Same-store sales edge up,,,,,,,,,,,,Inc,2.836230558,Up,1,0
1998-11-10,Wal-Mart 3Q breaks record,Fed fears dim Dow's open,Cautious climb for stocks,Dow in slow motion,Long refreshment for stocks,Lukewarm emotions for Dow,,,,,,,Dec,-0.795053004,Down,0,1
1998-11-25,Holiday sales patterns shift,All I want for Christmas...,The cyber side of Sears,,,,,,,,,,Inc,1.0,Up,1,0
1998-11-27,Bag a Furby online,Dow smiling post-holiday,,,,,,,,,,,Inc,0.740131579,Up,1,0
1998-11-30,Retailers catch Xmas spirit,,,,,,,,,,,,Dec,-1.872964169,Down,0,1
1998-12-02,The softer side of Sears,,,,,,,,,,,,Dec,-0.670578374,Down,0,1
1998-12-03,Retailers post mixed results,,,,,,,,,,,,Dec,-3.296703297,Down,0,1
1998-12-07,Fleming sets cost cutting,,,,,,,,,,,,Inc,1.186440678,Up,1,0
1998-12-08,CNNfn's business top 10,,,,,,,,,,,,Inc,1.672240803,Up,1,0
1998-12-21,Bourses inch upward,Bourse bounce gathers speed,,,,,,,,,,,Inc,1.288244767,Up,1,0
1998-12-24,Light Christmas,,,,,,,,,,,,Dec,-0.460122699,Down,0,1
1998-12-28,Internet props up retail sales,,,,,,,,,,,,Dec,-1.388888889,Down,0,1
