Date,1,2,3,4,5,6,7,8,9,10,11,12
1997-04-10,Dow loses second straight,Stocks remain weak,Dow wavers; Nasdaq falls,,,,,,,,,
1997-04-22,Blockbuster stock to go solo,,,,,,,,,,,
1997-05-08,Wild day for the Dow,Blue chips skyrocket,Dow charges ahead,April sales meet estimates,,,,,,,,
1997-05-13,Stocks to watch,Stocks sink on rate woes,Dow in the doldrums,Dow stays down at noon,,,,,,,,
1997-06-02,Dow declines on rate woes,Nasdaq climbs; Dow slips,Stocks struggle at midday,,,,,,,,,
1997-06-05,Dow jumps then stalls,Blue chips power Wall St.,Dow surges at midday,Apparel sales still suffer,,,,,,,,
1997-06-09,Wal-Mart keeps growing,,,,,,,,,,,
1997-06-10,IBM to close Web 'mall',,,,,,,,,,,
1997-06-19,Sony Cineplex in talks?,,,,,,,,,,,
1997-06-20,Cineplex deal confirmed,,,,,,,,,,,
1997-07-04,Universal gets into the act,,,,,,,,,,,
1997-07-10,Dow battles back,Wall St. wobbles higher,Zig-zag day for stocks,Blue chips retreat,,,,,,,,
1997-08-07,Stocks bonds weaken,Blue chips fight on,Dow stays firm at record,,,,,,,,,
1997-08-14,Bonds thrill stocks chill,Stocks fall despite CPI,,,,,,,,,,
1997-08-15,Stocks tumble at opening,,,,,,,,,,,
1997-08-21,Beef plant is shut down,,,,,,,,,,,
1997-08-22,Lynch: Follow the earnings,,,,,,,,,,,
1997-09-03,Carmike shows horror pix,,,,,,,,,,,
1997-09-04,Warnings wobble Wall St.,Blue chips keep slipping,Rickety Dow recovering,Blue chips skid at midday,Sales techs rule market,Chain store sales improve,,,,,,
1997-09-05,Dow rallies from slump,,,,,,,,,,,
1997-10-09,September sales slump,,,,,,,,,,,
1997-10-15,Getting your first biz loan,,,,,,,,,,,
1997-10-17,Holiday retail looks bright,,,,,,,,,,,
1997-11-06,Retail sales rise in fall,,,,,,,,,,,
1997-11-11,Profit gain at Wal-Mart,Investors hesitate ahead of Fed,Stocks take pre-Fed snooze,Stocks lose ground,Dow stuck in tight range,Dow holds on to gains,Dow in pre-Fed lull,,,,,
1997-12-04,Retailers thank holiday,,,,,,,,,,,
1997-12-26,Retail stocks on sale?,Holiday optimism muted,Holiday giddiness subsides,Jingle bulls jingle bulls,ready...set...SHOP!,,,,,,,
1997-12-30,Stocks shake holiday blues,Stocks zoom in year-end rally,Retail sales help fuel rally,Retail banks bolster rally,,,,,,,,
1998-01-08,Holiday sales: few surprises,,,,,,,,,,,
1998-02-05,January store sales rise,,,,,,,,,,,
1998-02-24,Caldor to shut 12 stores,,,,,,,,,,,
1998-03-05,Hard goods help retailers,,,,,,,,,,,
1998-03-10,NCR Microsoft partner,,,,,,,,,,,
1998-03-19,Sunbeam sees weak sales,,,,,,,,,,,
1998-03-25,Wal-mart  small-mart,Dow party quiets down,Dow powers toward goal,,,,,,,,,
1998-04-02,Woolworth sports new name,,,,,,,,,,,
1998-04-03,Sunbeam sees 1Q loss,,,,,,,,,,,
1998-04-09,Weather warms retail sales,,,,,,,,,,,
1998-05-06,Surgery firms cut a deal,,,,,,,,,,,
1998-05-07,Chains post strong sales,,,,,,,,,,,
1998-05-08,Retail sector sets 'sale',,,,,,,,,,,
1998-05-12,Wal-Mart beats Wall St.,Stocks adrift in pre-Fed week,Bonds rally stocks follow,Dow bides its time,,,,,,,,
1998-05-13,Retail sales to ring on Dow,,,,,,,,,,,
1998-05-14,Dover Pacific finds funding,,,,,,,,,,,
1998-06-04,Retail sales soar,,,,,,,,,,,
1998-06-09,Go with the winners',,,,,,,,,,,
1998-07-02,GM talks show little progress,,,,,,,,,,,
1998-07-23,Sears beats street in 2Q,,,,,,,,,,,
1998-07-24,Outsmarting the car dealer,,,,,,,,,,,
1998-07-28,Big banking alternatives,,,,,,,,,,,
1998-08-06,Retail sales growth steady,Wall Street still healing,A timid bounce on Wall St.,Techs rebound Dow lags,Stocks claw slightly higher,Wall St. gets more jitters,,,,,,
1998-08-11,Wal-Mart profit gains,,,,,,,,,,,
1998-08-18,Retail earnings looking good,,,,,,,,,,,
1998-08-26,Creatine sales bulking up,,,,,,,,,,,
1998-08-28,Analyst: Two-thirds done,,,,,,,,,,,
1998-09-01,Approaching bottom,,,,,,,,,,,
1998-09-03,Retail sales a mixed bag,CNNfn market movers,,,,,,,,,,
1998-09-04,The top foul-weather funds,,,,,,,,,,,
1998-09-08,CNNfn market movers,,,,,,,,,,,
1998-09-15,CNNfn market movers,,,,,,,,,,,
1998-09-25,BBBY sees profits bubble,,,,,,,,,,,
1998-10-06,Wal-Mart sales surge,More anxiety on Wall Street,Stocks stumble at the end,Wall Street rally turns rusty,Buyers return to stocks,,,,,,,
1998-10-08,Discount retail sales surge,CNNfn market movers,,,,,,,,,,
1998-10-16,Wal-Mart sues Amazon,,,,,,,,,,,
1998-10-19,CNNfn market movers,,,,,,,,,,,
1998-10-21,Nordstrom takes on the 'Net,,,,,,,,,,,
1998-10-29,Net's future: customer loyalty,,,,,,,,,,,
1998-10-30,Booking the Net,All I want for Christmas...,,,,,,,,,,
1998-11-03,The cyber side of Sears,,,,,,,,,,,
1998-11-05,Same-store sales edge up,,,,,,,,,,,
1998-11-10,Wal-Mart 3Q breaks record,Fed fears dim Dow's open,Cautious climb for stocks,Dow in slow motion,Long refreshment for stocks,Lukewarm emotions for Dow,,,,,,
1998-11-25,Holiday sales patterns shift,All I want for Christmas...,The cyber side of Sears,,,,,,,,,
1998-11-27,Bag a Furby online,Dow smiling post-holiday,,,,,,,,,,
1998-11-30,Retailers catch Xmas spirit,,,,,,,,,,,
1998-12-02,The softer side of Sears,,,,,,,,,,,
1998-12-03,Retailers post mixed results,,,,,,,,,,,
1998-12-07,Fleming sets cost cutting,,,,,,,,,,,
1998-12-08,CNNfn's business top 10,,,,,,,,,,,
1998-12-21,Bourses inch upward,Bourse bounce gathers speed,,,,,,,,,,
1998-12-24,Light Christmas,,,,,,,,,,,
1998-12-28,Internet props up retail sales,,,,,,,,,,,
1999-01-05,Amazon flooded with sales,,,,,,,,,,,
1999-01-07,Retail sales show healthy rise,,,,,,,,,,,
1999-01-26,The lure of stock options,,,,,,,,,,,
1999-01-27,Retailer goes for e-growth,,,,,,,,,,,
1999-02-01,AT&T cards Wal-Mart,U.S. stocks in volatile mix,Wall Street rally resumes,Lackluster climb for Dow,Wall St. trims down gains,Early gains on Wall Street,,,,,,
1999-02-04,Retail sales up in January,,,,,,,,,,,
1999-02-09,Retailer to shut 134 stores,,,,,,,,,,,
1999-02-16,Wal-Mart beats Street,Techs rates to drive stocks,Hesitation on Wall Street,Mixed picture on Wall Street,Stock rally fades,Show of strength in stocks,Wall Street charges ahead,,,,,
1999-03-04,Retailers post solid month,CNNfn market movers,CNNfn after the bell,,,,,,,,,
1999-03-05,Wall St. eyes jobs report,Trade deficit seen rising,Dow breaks 9700 mark,Dow aiming for a record,Dow eyes new highs,Stocks and jobs for all,Wall St. feasts on jobs data,Funds eye battle lines,,,,
1999-03-10,Sears plans stock buyback,,,,,,,,,,,
1999-03-11,Praise for tech sector,,,,,,,,,,,
1999-03-23,Oil stocks: Time to invest?,Family Dollar: less is more,,,,,,,,,,
1999-03-26,Investing with a conscience,,,,,,,,,,,
1999-04-05,Amazon Wal-Mart settle,Fortune shakes up 500 list,,,,,,,,,,
1999-04-08,Retail sales gains continue,,,,,,,,,,,
1999-04-09,Buying stock for a change,,,,,,,,,,,
1999-04-16,Europe shops till it drops,U.K. retailers in $10B deal,Magellan assets rise 8.6%,,,,,,,,,
1999-04-19,FTSE 100 hits new peak close,,,,,,,,,,,
1999-04-22,FTSE bulls rampage,,,,,,,,,,,
1999-04-26,Denver sports teams sold,,,,,,,,,,,
1999-04-27,Toys 'R' Us ... online,,,,,,,,,,,
1999-04-29,London snaps streak,Bourses extend slide,Tech exodus at open?,,,,,,,,,
1999-05-03,Stock picks by the pros,The Dow: then and now,,,,,,,,,,
1999-05-06,CNNfn market movers,Same-store sales surge,,,,,,,,,,
1999-05-07,Wall St. to study economics,,,,,,,,,,,
1999-05-10,CNNfn market movers,,,,,,,,,,,
1999-05-11,Wal-Mart 1Q net up 39%,Stocks eye mergers results,Stocks overcome bond slump,Bonds sap Wall St.'s strength,Techs triumph on Wall St.,Blue chips ride the bull,Wall St. in a bullish mood,,,,,
1999-05-13,Sears to e-tail appliances,IBM surges on rosy outlook,,,,,,,,,,
